Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.201.3,216.58.220.138,61.206.169.146,216.58.220.138,trust3_GoogleMeet,,,google-base,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,7909,1,62467,443,60597,443,0x400053,tcp,allow,4107,2069,2038,24,2021/6/21 9:59,9,search-engines,0,33088515070,0x0,172.16.0.0-172.31.255.255,United States,0,12,12,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.201.57,216.58.197.229,61.206.169.146,216.58.197.229,trust3_GoogleMeet,,,gmail-base,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,228850,1,57368,443,51812,443,0x400053,tcp,allow,12479890,4362219,8117671,26198,2021/6/21 8:59,3630,web-based-email,0,33088515069,0x0,172.16.0.0-172.31.255.255,United States,0,11143,15055,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.234.35,216.58.220.138,61.206.169.146,216.58.220.138,trust3_GoogleMeet,,,google-base,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,196719,1,52613,443,22552,443,0x400053,tcp,allow,9754,4947,4807,92,2021/6/21 9:48,664,search-engines,0,33088515068,0x0,192.168.0.0-192.168.255.255,United States,0,44,48,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.205.26,172.217.31.131,61.206.169.146,172.217.31.131,trust3_GoogleMeet,,,ssl,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,211869,1,57128,443,57955,443,0x400053,tcp,allow,6644,3075,3569,46,2021/6/21 9:55,240,computer-and-internet-info,0,33088515067,0x0,172.16.0.0-172.31.255.255,United States,0,23,23,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.17.102.79,13.35.70.111,61.206.169.146,13.35.70.111,id_285,,,ssl,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,93165,1,59082,443,62882,443,0x400053,tcp,allow,11856,2267,9589,44,2021/6/21 9:55,241,business-and-economy,0,33088515066,0x0,172.16.0.0-172.31.255.255,United States,0,19,25,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.17.112.117,172.217.161.35,61.206.169.146,172.217.161.35,id_285,,,ssl,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,108278,1,53025,443,54476,443,0x400053,tcp,allow,4681,1055,3626,14,2021/6/21 9:59,4,computer-and-internet-info,0,33088515065,0x0,172.16.0.0-172.31.255.255,United States,0,8,6,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.164.94,192.168.51.209,,,trust3-zen-malionrel_group,,,soap,vsys1,trust3,trust1,ethernet1/3,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 9:59,24947,1,61594,80,0,0,0x1c,tcp,allow,18168,10769,7399,42,2021/6/21 9:56,166,private-ip-addresses,0,33088515064,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,23,19,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,172.29.203.254,192.168.51.201,,,trust3-zen_ad01,,,ldap,vsys1,trust3,trust1,ethernet1/3,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 9:59,83794,1,58098,389,0,0,0x1b,tcp,allow,11392,4173,7219,23,2021/6/21 9:59,11,any,0,33088515063,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,12,11,tcp-rst-from-server,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.190.220,172.217.31.170,61.206.169.146,172.217.31.170,trust3_GoogleMeet,,,google-base,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,39192,1,51861,443,53795,443,0x400053,tcp,allow,3078,1561,1517,24,2021/6/21 9:56,180,search-engines,0,33088515062,0x0,192.168.0.0-192.168.255.255,United States,0,13,11,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 9:59,1801038829,TRAFFIC,end,2049,2021/6/21 9:59,192.168.234.45,117.18.237.29,61.206.169.146,117.18.237.29,trust3_GoogleMeet,,,ocsp,vsys1,trust3,untrust,ethernet1/3,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 9:59,74637,1,49674,80,25927,80,0x40001c,tcp,allow,1758,660,1098,12,2021/6/21 9:58,60,computer-and-internet-info,0,33088515061,0x0,192.168.0.0-192.168.255.255,Taiwan ROC,0,7,5,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
