Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,192.168.222.12,192.168.53.3,192.168.222.12,192.168.88.10,trust3-dns-dmz,,,dns,vsys1,trust3,DMZ,ethernet1/3,ethernet1/7,nri-Log-Forwarding-Profile,2021/6/21 10:00,245030,1,50389,53,50389,53,0x400019,udp,allow,342,102,240,2,2021/6/21 9:59,0,any,0,33088515885,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,1,1,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,172.17.102.211,192.168.51.201,,,AWS_AD-zen_ad,,,dns,vsys1,trust6,trust1,ethernet1/6,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 10:00,109036,1,62380,53,0,0,0x19,udp,allow,251,75,176,2,2021/6/21 9:59,0,any,0,33088515884,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,1,1,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,172.29.205.190,192.168.51.201,,,trust3-zen_ad01,,,dns,vsys1,trust3,trust1,ethernet1/3,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 10:00,4487,1,53764,53,0,0,0x19,udp,allow,168,76,92,2,2021/6/21 9:59,0,any,0,33088515883,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,1,1,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,192.168.241.197,192.168.51.201,,,trust3-zen_ad01,,,dns,vsys1,trust3,trust1,ethernet1/3,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 10:00,253193,1,49397,53,0,0,0x19,udp,allow,215,85,130,2,2021/6/21 9:59,0,any,0,33088515882,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,1,1,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,192.168.230.83,192.168.51.201,,,trust3-zen_ad01,,,dns,vsys1,trust3,trust1,ethernet1/3,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 10:00,746,1,57304,53,0,0,0x19,udp,allow,412,78,334,2,2021/6/21 9:59,0,any,0,33088515881,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,1,1,aged-out,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,172.17.31.15,192.168.51.207,,,aws_zabbix-trust1,,,zabbix,vsys1,trust6,trust1,ethernet1/6,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 10:00,88400,1,39762,10050,0,0,0x1c,tcp,allow,733,439,294,10,2021/6/21 9:59,0,any,0,33088515880,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,6,4,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,172.17.31.15,192.168.220.12,,,id_288,,,zabbix,vsys1,trust6,trust3,ethernet1/6,ethernet1/3,nri-Log-Forwarding-Profile,2021/6/21 10:00,140275,1,49554,10050,0,0,0x1c,tcp,allow,619,326,293,9,2021/6/21 9:59,0,any,0,33088515879,0x0,172.16.0.0-172.31.255.255,192.168.0.0-192.168.255.255,0,5,4,tcp-rst-from-client,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,172.17.102.105,23.41.52.78,61.206.169.146,23.41.52.78,id_285,,,ssl,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 10:00,172891,1,51096,443,4842,443,0x40001b,tcp,allow,9903,3224,6679,31,2021/6/21 9:51,499,computer-and-internet-info,0,33088515878,0x0,172.16.0.0-172.31.255.255,Japan,0,15,16,tcp-rst-from-client,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,172.17.112.33,13.107.136.9,61.206.169.146,13.107.136.9,id_285,,,sharepoint-online,vsys1,trust6,untrust,ethernet1/6,ethernet1/8,nri-Log-Forwarding-Profile,2021/6/21 10:00,108785,1,61156,443,43080,443,0x400053,tcp,allow,11776,4319,7457,24,2021/6/21 9:59,0,computer-and-internet-info,0,33088515877,0x0,172.16.0.0-172.31.255.255,United States,0,11,13,tcp-fin,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
1,2021/6/21 10:00,1801038829,TRAFFIC,end,2049,2021/6/21 10:00,192.168.230.107,192.168.51.209,,,trust3-zen-malionrel_group,,,soap,vsys1,trust3,trust1,ethernet1/3,ethernet1/1,nri-Log-Forwarding-Profile,2021/6/21 10:00,113734,1,58898,80,0,0,0x1b,tcp,allow,2140,1176,964,8,2021/6/21 9:57,123,private-ip-addresses,0,33088515876,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,4,4,tcp-rst-from-server,0,0,0,0,,PA-00011SFBI,from-policy,,,0,,0,,N/A,0,0,0,0
